// 人物名稱字串檔, 將內容複製到 GameResource.txt

[name]

item = 25000,山羊
item = 25001,鹿
item = 25002,野狼
item = 25003,花豹
item = 25004,毒蛇
item = 25005,老鷹
item = 25006,虎
item = 25007,山賊刀兵
item = 25008,山賊弓兵
item = 25009,山賊槍兵
item = 25010,牛車
item = 25011,海賊刀兵
item = 25012,海賊飛刀兵
item = 25013,海賊槍兵
item = 25014,騾車
item = 25015,盲劍客
item = 25016,黃巾刀兵
item = 25017,黃巾弓兵
item = 25018,黃巾槍兵
item = 25019,黃巾槍騎兵
item = 25020,黃巾女兵
item = 25021,黃巾炸彈兵
item = 25022,黃巾力士
item = 25023,黃巾道人
item = 25024,黃巾馬車
item = 25025,稻草妖兵
item = 25026,木人
item = 25027,活屍
item = 25028,屍兵
item = 25029,水鬼
item = 25030,火妖
item = 25031,舞獅
item = 25032,毒蠍
item = 25033,豪豬
item = 25034,狂牛
item = 25035,兀鷹
item = 25036,變色龍
item = 25037,鬣蜥
item = 25038,鱷魚
item = 25039,巨鱷
item = 25040,棕熊
item = 25041,熊貓
item = 25042,黑熊
item = 25043,白熊
item = 25044,地痞
item = 25045,流氓
item = 25046,鎖鏈惡女
item = 25047,殺手
item = 25048,沙漠大盜
item = 25049,土霸王
item = 25050,駱駝槍兵
item = 25051,毒蜂姥姥
item = 25052,蛇魔女
item = 25053,惡吏
item = 25054,黃巾刀車
item = 25055,山賊王
item = 25056,海賊王
item = 25057,山豬
item = 25058,稻草人
item = 25059,木頭人
item = 25060,箭靶
item = 25061,宵小
item = 25062,刁民
item = 25063,殺人狂
item = 25064,光頭拳師
item = 25065,小混混
item = 25066,拐子腿
item = 25067,市井惡棍
item = 25068,流氓頭子
item = 25069,野丫頭
item = 25070,金毛仔
item = 25071,紅毛仔
item = 25072,綠毛仔
item = 25073,刀鋒女煞星
item = 25074,公羊
item = 25075,發狂山羊
item = 25076,山羊王
item = 25077,黑羊
item = 25078,長蛇
item = 25079,青竹絲
item = 25080,赤蟒
item = 25081,成狼
item = 25082,灰狼
item = 25083,大狼
item = 25084,白狼
item = 25085,豬仔
item = 25086,大山豬
item = 25087,神豬
item = 25088,山貓
item = 25089,巨虎
item = 25090,盜賊刀兵
item = 25091,盜賊弓兵
item = 25092,盜賊槍兵
item = 25093,關東民兵
item = 25094,關東女兵
item = 25095,關東刀兵
item = 25096,關東弓兵
item = 25097,關東飛刀兵
item = 25098,關東槍兵
item = 25099,關東輕騎兵
item = 25100,關東騎兵
item = 25101,頑石
item = 25102,黃巾大刀兵
item = 25103,荊州民兵
item = 25104,荊州女兵
item = 25105,荊州刀兵
item = 25106,荊州弓兵
item = 25107,荊州飛刀兵
item = 25108,荊州槍兵
