// 敵武將說話文字檔

[name]
item = 21600,我乃大賢良師張角！起來吧！黃天的子民們！
item = 21601,吾乃天公將軍張角！愚民們，還不跪下膜拜！
item = 21602,蒼天覆滅的時候到了！起義吧！我的子民們！
item = 21603,信徒們，為黃天之世而戰的時刻到來了！
item = 21604,哈哈哈…好好品嚐本人地公將軍張寶的恐怖吧！
item = 21605,蒼天的愚民呀，讓你們嚐嚐妖術的厲害！
item = 21606,膽敢忤逆黃巾黨的愚民們，一律誅殺！！！
item = 21607,人公將軍張梁，出擊！！！！！
item = 21608,黃巾黨的勇士們，出擊！！！
item = 21609,蒼天已死，黃天當立！
item = 21610,出戰吧！為黃天的時代而戰！
item = 21611,大賢良師的信徒們，顛覆蒼天之世！！
item = 21612,哈哈哈哈～～天下大亂，我們的時代來臨了！
item = 21613,留下買路財，否則就等著吃拳頭！
item = 21614,看什麼？再看就讓你嚐嚐本姑娘的刀子！
item = 21615,嘿嘿嘿…用蠱毒來散播更大的瘟疫吧……
item = 21616,賤民們，再不工作，今年稅賦就再加三成！
item = 21617,虛有其表的人真是越來越多了，誰能當我的對手？
item = 21618,找個人來試試這把刀有多利吧，嘿嘿……
item = 21619,放養更多的蛇，咬死更多的人吧。
item = 21620,就趁這個機會，擴大本大爺的勢力範圍！
item = 21621,……找幾個活人來練劍吧。
item = 21622,現在是女人的天下了！
item = 21623,膽敢招惹山賊，吃了豹子膽不成！？
item = 21624,闖進海賊地盤的人，通通給我殺！！！
item = 21625,給我上啊！搶光世上所有的財寶！！
item = 21626,來人啊！將闖進大興山的敵人通通殺光！
item = 21627,鄧茂在此，誰敢挑戰我？
item = 21628,卜巳在此，誰敢和我一較高低？
item = 21629,將入侵天柱山的外敵全部殲滅！殺！！！
item = 21630,梅成坐鎮在此，誰敢犯我天柱山？
item = 21631,外人入侵天柱山了，弟兄們出擊！！
item = 21632,沒有退路了，死戰到底是唯一的活路！
item = 21633,出擊！敵人一個都別想活著離開！！
item = 21634,守住房陵，別讓官兵闖進來！
item = 21635,竟敢犯吾軍盟友！來人啊！擒下逆賊！
item = 21636,讓你們見識威震幽州，本人白馬將軍的實力！
item = 21637,竟敢犯吾軍盟友！來人啊！擒下逆賊！
item = 21638,衝啊！別放過任何一名賊人！
item = 21639,賊人休逃！常山趙子龍在此！
item = 21640,想成為我手下槍下亡魂的話，就儘管來吧！
item = 21641,常山趙子龍出擊！！！
item = 21642,大膽狂徒，竟敢犯我關東地盤！
item = 21643,賊人入侵關東了，眾將士出擊！！！
item = 21644,竟敢犯吾軍盟友！來人啊！擒下逆賊！
item = 21645,出擊！擊潰這群沒骨氣的傢伙！！！
item = 21646,竟敢犯吾軍盟友！來人啊！擒下逆賊！
item = 21647,出擊！拿下這幫逆賊！
item = 21648,弟兄們！好好大鬧一番！哈哈哈哈！
item = 21649,甘興霸在此，無人敢前來挑戰嗎？
item = 21650,弟兄們，讓這群人見識見識錦帆賊的實力！
item = 21651,全軍出擊！將侵入荊州的外敵全部逐出！！
item = 21652,荊州太守劉表在此，賊人還不速降！？
item = 21653,全軍出擊！將侵入荊州的外敵全部逐出！！
item = 21654,忠勇的將士們，速將外敵逐出！
item = 21655,竟敢犯吾軍盟友！來人啊！擒下逆賊！
item = 21656,大逆不道的賊人，休走！！！
item = 21657,竟敢犯吾軍盟友！來人啊！擒下逆賊！
item = 21658,大逆不道的賊人，休走！！！
item = 21659,無法無天的逆賊，我要替天行道！
item = 21660,本人太史慈在此，有本事就來取我首級吧！
