// ª««~³]©wÀÉ2
#include TYPE.H
#include PROCESS.H
#include DEFINETXT.H
#include ITEM.H
#include ITEM2.H
#include RANGETABLE.H
#include MAGIC.H
#include MAGIC_EXP.H
#include PLAYERS.H
#include STAGE.H
#include COMPOSITE_TABLE.H


// ---------------- ¸Ë³Æ«~ -------------------
[item]
code = item_¦^¬K¥É
name = 4500000
type2 = itemType2NoSell,itemType2GEM
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18001
help_string = 4565536

[item]
code = item_¬~º°¾¯
name = 4500001
type2 = itemType2NoSell,itemType2GEM
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18002
help_string = 4565537

[item]
code = item_Æ^¤ÕÆp
name = 4500002
type2 = itemType2NoSell,itemType2GEM
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18003
help_string = 4565538

[item]
code = item_¦å¥É1¯Å
name = 4500003
type2 = itemType2NoSell,itemType2GEM
add_hp = 40
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18004
help_string = 4565539

[item]
code = item_¦å¥É2¯Å
name = 4500004
type2 = itemType2NoSell,itemType2GEM
add_hp = 80
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18005
help_string = 4565540

[item]
code = item_¦å¥É3¯Å
name = 4500005
type2 = itemType2NoSell,itemType2GEM
add_hp = 120
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18006
help_string = 4565541

[item]
code = item_Å]¥É1¯Å
name = 4500006
type2 = itemType2NoSell,itemType2GEM
add_mp = 40
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18007
help_string = 4565542

[item]
code = item_Å]¥É2¯Å
name = 4500007
type2 = itemType2NoSell,itemType2GEM
add_mp = 80
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18008
help_string = 4565543

[item]
code = item_Å]¥É3¯Å
name = 4500008
type2 = itemType2NoSell,itemType2GEM
add_mp = 120
limit_level = 1
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18009
help_string = 4565544

[item]
code = item_ªZ¥É1¯Å
name = 4500009
type2 = itemType2NoSell,itemType2GEM
add_attr_str = 3
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18010
help_string = 4565545

[item]
code = item_ªZ¥É2¯Å
name = 4500010
type2 = itemType2NoSell,itemType2GEM
add_attr_str = 6
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18011
help_string = 4565546

[item]
code = item_ªZ¥É3¯Å
name = 4500011
type2 = itemType2NoSell,itemType2GEM
add_attr_str = 9
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18012
help_string = 4565547

[item]
code = item_´¼¥É1¯Å
name = 4500012
type2 = itemType2NoSell,itemType2GEM
add_attr_int = 3
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18013
help_string = 4565548

[item]
code = item_´¼¥É2¯Å
name = 4500013
type2 = itemType2NoSell,itemType2GEM
add_attr_int = 6
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18014
help_string = 4565549

[item]
code = item_´¼¥É3¯Å
name = 4500014
type2 = itemType2NoSell,itemType2GEM
add_attr_int = 9
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18015
help_string = 4565550

[item]
code = item_ºë¥É1¯Å
name = 4500015
type2 = itemType2NoSell,itemType2GEM
add_attr_mind = 3
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18016
help_string = 4565551

[item]
code = item_ºë¥É2¯Å
name = 4500016
type2 = itemType2NoSell,itemType2GEM
add_attr_mind = 6
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18017
help_string = 4565552

[item]
code = item_ºë¥É3¯Å
name = 4500017
type2 = itemType2NoSell,itemType2GEM
add_attr_mind = 9
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18018
help_string = 4565553

[item]
code = item_¤Ï¥É1¯Å
name = 4500018
type2 = itemType2NoSell,itemType2GEM
add_attr_dex = 3
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18019
help_string = 4565554

[item]
code = item_¤Ï¥É2¯Å
name = 4500019
type2 = itemType2NoSell,itemType2GEM
add_attr_dex = 6
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18020
help_string = 4565555

[item]
code = item_¤Ï¥É3¯Å
name = 4500020
type2 = itemType2NoSell,itemType2GEM
add_attr_dex = 9
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18021
help_string = 4565556

[item]
code = item_²Î¥É1¯Å
name = 4500021
type2 = itemType2NoSell,itemType2GEM
add_attr_leader = 3
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18022
help_string = 4565557

[item]
code = item_²Î¥É2¯Å
name = 4500022
type2 = itemType2NoSell,itemType2GEM
add_attr_leader = 6
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18023
help_string = 4565558

[item]
code = item_²Î¥É3¯Å
name = 4500023
type2 = itemType2NoSell,itemType2GEM
add_attr_leader = 9
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18024
help_string = 4565559

[item]
code = item_¸Ñ¬r¥É1¯Å
name = 4500024
type2 = itemType2NoSell,itemType2GEM
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18025
help_string = 4565560
function = effFun_ANTISTATUS,effFun_POISON
anti_status_ratio = effFun_POISON,2

[item]
code = item_¸Ñ¬r¥É2¯Å
name = 4500025
type2 = itemType2NoSell,itemType2GEM
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18026
help_string = 4565561
function = effFun_ANTISTATUS,effFun_POISON
anti_status_ratio = effFun_POISON,4

[item]
code = item_¸Ñ¬r¥É3¯Å
name = 4500026
type2 = itemType2NoSell,itemType2GEM
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18027
help_string = 4565562
function = effFun_ANTISTATUS,effFun_POISON
anti_status_ratio = effFun_POISON,6

[item]
code = item_§Ü·w¥É1¯Å
name = 4500027
type2 = itemType2NoSell,itemType2GEM
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18028
help_string = 4565563
function = effFun_ANTISTATUS,effFun_STUN
anti_status_ratio = effFun_STUN,2

[item]
code = item_§Ü·w¥É2¯Å
name = 4500028
type2 = itemType2NoSell,itemType2GEM
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18029
help_string = 4565564
function = effFun_ANTISTATUS,effFun_STUN
anti_status_ratio = effFun_STUN,4

[item]
code = item_§Ü·w¥É3¯Å
name = 4500029
type2 = itemType2NoSell,itemType2GEM
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18030
help_string = 4565565
function = effFun_ANTISTATUS,effFun_STUN
anti_status_ratio = effFun_STUN,6

[item]
code = item_­°°I¥É1¯Å
name = 4500030
type2 = itemType2NoSell,itemType2GEM
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18031
help_string = 4565566
function = effFun_ANTISTATUS,effFun_WEAKEN
anti_status_ratio = effFun_WEAKEN,2

[item]
code = item_­°°I¥É2¯Å
name = 4500031
type2 = itemType2NoSell,itemType2GEM
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18032
help_string = 4565567
function = effFun_ANTISTATUS,effFun_WEAKEN
anti_status_ratio = effFun_WEAKEN,4

[item]
code = item_­°°I¥É3¯Å
name = 4500032
type2 = itemType2NoSell,itemType2GEM
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18033
help_string = 4565568
function = effFun_ANTISTATUS,effFun_WEAKEN
anti_status_ratio = effFun_WEAKEN,6

[item]
code = item_¿m´H¥É1¯Å
name = 4500033
type2 = itemType2NoSell,itemType2GEM
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18034
help_string = 4565569
function = effFun_ANTISTATUS,effFun_SLOW
anti_status_ratio = effFun_SLOW,2

[item]
code = item_¿m´H¥É2¯Å
name = 4500034
type2 = itemType2NoSell,itemType2GEM
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18035
help_string = 4565570
function = effFun_ANTISTATUS,effFun_SLOW
anti_status_ratio = effFun_SLOW,4

[item]
code = item_¿m´H¥É3¯Å
name = 4500035
type2 = itemType2NoSell,itemType2GEM
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18036
help_string = 4565571
function = effFun_ANTISTATUS,effFun_SLOW
anti_status_ratio = effFun_SLOW,6

[item]
code = item_¨¾³N¥É1¯Å
name = 4500036
type2 = itemType2NoSell,itemType2GEM
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18037
help_string = 4565572
function = effFun_ANTISTATUS,effFun_NO_MAGIC
anti_status_ratio = effFun_NO_MAGIC,2

[item]
code = item_¨¾³N¥É2¯Å
name = 4500037
type2 = itemType2NoSell,itemType2GEM
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18038
help_string = 4565573
function = effFun_ANTISTATUS,effFun_NO_MAGIC
anti_status_ratio = effFun_NO_MAGIC,4

[item]
code = item_¨¾³N¥É3¯Å
name = 4500038
type2 = itemType2NoSell,itemType2GEM
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18039
help_string = 4565574
function = effFun_ANTISTATUS,effFun_NO_MAGIC
anti_status_ratio = effFun_NO_MAGIC,6

[item]
code = item_©è§Þ¥É1¯Å
name = 4500039
type2 = itemType2NoSell,itemType2GEM
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18040
help_string = 4565575
function = effFun_ANTISTATUS,effFun_NO_SPEC
anti_status_ratio = effFun_NO_SPEC,2

[item]
code = item_©è§Þ¥É2¯Å
name = 4500040
type2 = itemType2NoSell,itemType2GEM
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18041
help_string = 4565576
function = effFun_ANTISTATUS,effFun_NO_SPEC
anti_status_ratio = effFun_NO_SPEC,4

[item]
code = item_©è§Þ¥É3¯Å
name = 4500041
type2 = itemType2NoSell,itemType2GEM
weight = 20
cost = 400
sell = 100
cost_level = 25
icon = 18042
help_string = 4565577
function = effFun_ANTISTATUS,effFun_NO_SPEC
anti_status_ratio = effFun_NO_SPEC,6

[item]
code = item_¤ýªÌÂk¨Ó¹u¤l
name = 4501000
type = itemTypeFoot,itemTypeNoUse,itemTypeNoTrade
type2 = itemType2NoSell
add_attr_str = 18
add_attr_int = 17
add_attr_mind = 20
add_attr_con = 16
add_attr_dex = 14
add_defense = 35
add_hp = 630
eq_magic_resist = skillAttr_ARROW,5
eq_magic_resist = skillAttr_WATER,5
limit_level = 135
limit_job = jobWARLORD,jobLEADER,jobADVISOR,jobWIZARD,jobENGINEER
weight = 700
cost = 180000
sell = 42500
cost_level = 97
icon = 2867
wid = 2867
help_string = 4566536
comp_times = 3
soul_times = 1

[item]
code = item_©ú¥ú­¸Às¹u
name = 4501001
type = itemTypeFoot,itemTypeNoUse
add_attr_str = 86
add_attr_con = 95
add_attr_dex = 33
add_defense = 102
add_hp = 3360
eq_magic_resist = skillAttr_ARROW,5
eq_magic_resist = skillAttr_WATER,5
limit_level = 155
limit_job = jobWARLORD
weight = 700
cost = 160000
sell = 40000
cost_level = 100
icon = 2933
wid = 2933
help_string = 4566537
comp_times = 2
soul_times = 2

[item]
code = item_îÜª÷³½Åì¹u
name = 4501002
type = itemTypeFoot,itemTypeNoUse
add_attr_str = 55
add_attr_int = 26
add_attr_mind = 36
add_attr_con = 34
add_attr_dex = 37
add_attr_leader = 31
add_defense = 102
