// NPC名稱(複製到 GameResource.txt)

[name]
item = 50000,現在天下大亂，當兵打仗是最有發展的啦！
item = 50001,改朝換代什麼的，老子才不在乎，有工可以作，有飯可以吃就好了。
item = 50002,朝綱危亂、四方禍起，仕途不明、武人當道……可嘆矣！
item = 50003,錢！錢！錢！  錢最重要！
item = 50004,四處都在打仗，不知道在外的兒子好不好……
item = 50005,你知道『姬武將傳說』嗎！
item = 50006,我家那死鬼，家裡都不要了，只想著打仗。
item = 50007,百年春秋……何家顯要不中落……
item = 50008,啊～啾～
item = 50009,給我糖～
item = 50010,行乞一路非正道，無奈亂世事無常，賴活…… 
item = 50011,說實話，如果不想靠打仗生活的話，靠打獵過活也是不錯的！
item = 50012,一將功成萬骨枯，一將身退萬民欺，可嘆……
item = 50013,乘馬橫行，快意風發，這樣的爽快，何時也不會變呢！
item = 50014,小子，要殺敵，就要快、狠、猛！
item = 50015,和馬有了感情，衝陣殺敵，可以說是勢如破竹啊！
item = 50016,想要管好手下的兵，最基本的就是 智、信、仁、勇、嚴！
item = 50017,想日行千里，沒有良駒是辦不到的。
item = 50018,給錢，就能當官……是貪污的人說的……
item = 50019,張嘴吃酒喝肉，伸手納財握兵，當官嘛～
item = 50020,官字兩個口，沒一個好東西。
item = 50021,你要將重生點記錄在這裡嗎? 咆嗚～
item = 50022,是
item = 50023,否
item = 50024, 咆嗚～
item = 50025, 咆嗚～
item = 50026,你知道嗎? 對其他人點按@B滑鼠右鍵@A，可以進行各種不同的互動。
item = 50027,利用@B〈alt〉@A鍵與其他的鍵組合，也會有各種效果呢！
item = 50028,唉～#送鏢可不是什麼輕鬆的事，行腳靠本，走訪靠禮。
item = 50029,如何？有沒有興趣跟我走一趟啊？
item = 50030,你要將重生點記錄在這裡嗎？#或者是你想要傳送到露天市場?#@B(重生點是玩家死亡後，重新復活的地點)@A
item = 50031,記錄重生點
item = 50032,傳送到露天市場
item = 50033,什麼是露天市場
item = 50034,傳送到副本宮殿
item = 50035,重生點紀錄成功了。
item = 50036,露天市場是各種貨物的集散中心，它是屬於中立的一塊區域，你可以在這裡跟各個勢力的人進行交易或者擺攤。#@C(國戰時不會被傳送)@A
item = 50037,萬里奔波，實在勞苦。#是否要我助你一臂之力？
item = 50038,是
item = 50039,否
item = 50040,那麼，有機會務必讓我幫你。
item = 50041,由城西至城東的費用是@C100 兩@A，你要進行傳送嗎？
item = 50042,是
item = 50043,否
item = 50044,一轉眼就到了！
item = 50045,沒有錢， 別拿我尋開心……
item = 50046,萬里奔波，實在勞苦。#是否要我助你一臂之力？
item = 50047,是
item = 50048,否
item = 50049,那麼，有機會務必讓我幫你。
item = 50050,由城東至城西的費用是@C100 兩@A，你要進行傳送嗎？
item = 50051,是
item = 50052,否
item = 50053,一轉眼就到了！
item = 50054,您@C沒有足夠的金錢@A，請您重新檢查一次。
item = 50055,年輕人，你要離開方外之地了嗎？#(離開後，可以利用首都的@B民兵都伯@A，再回到方外之地)
item = 50056,是
item = 50057,否
item = 50058,當你確定要離開這兒時再來找我吧……
item = 50059,天下合久必分、分久必合，誰在這亂世之中，成為真正的霸主，想必在你的心中已經有了答案。
item = 50060,最重要的抉擇時刻到了，請@C選擇你想加入的勢力@A，誓言你將永遠效忠、永不背叛。#那麼，我將帶領你到該勢力的首都。
item = 50061,魏
item = 50062,蜀
item = 50063,吳
