// 武將技名稱解說字串檔

[name]
item = 16002,命療術
item = 16003,回復單一目標的體力。#【命療術術訣】#城外書舖購買#成都書舖#洛陽書舖#建業書舖
item = 16004,強命療術
item = 16005,回復一定範圍內複數目標的#體力。#【強命療術術訣】#王或怪物掉落取得
item = 16006,命療結界
item = 16007,產生一個範圍大、能夠恢復#體力的治療領域。#【命療結界術訣】#王或怪物掉落取得
item = 16008,復活術
item = 16009,藉由浴火鳳凰的生命之火讓#死去的人重生。#【復活術術訣】#王或怪物掉落取得
item = 16010,破咒術
item = 16011,解除身上的異常狀態。#【破咒術術訣】#城外書舖購買#成都書舖#洛陽書舖#建業書舖
item = 16012,破咒結界
item = 16013,產生一個大範圍，可回復所#有異常狀態的仙術結界。#【破咒結界術訣】#城外書舖購買#新野書舖#汝南書舖#壽春書舖
item = 16014,煉精化氣
item = 16015,將技力轉化為自身氣力。#【煉精化氣術訣】#王或怪物掉落取得
item = 16016,鐵腕法
item = 16017,引出潛力，提升攻擊力。#【鐵腕法術訣】#城外書舖購買#新野書舖#汝南書舖#壽春書舖
item = 16018,剛體法
item = 16019,引出潛力，提升防禦力。#【剛體法術訣】#城外書舖購買#新野書舖#汝南書舖#壽春書舖
item = 16020,神速法
item = 16021,引出潛力，提升攻速。#【神速法術訣】#王或怪物掉落取得
item = 16022,心眼法
item = 16023,引出潛力，提升反應。#【心眼法術訣】#城外書舖購買#上庸書舖#盧江書舖#許昌書舖
item = 16024,神行法
item = 16025,引出潛力，提升移動力。#【神行法術訣】#城外書舖購買#上庸書舖#盧江書舖#許昌書舖
item = 16026,集氣法
item = 16027,引出潛力，令武將攻擊、受#傷害、以及自然恢復的氣力#累積效率提升。#【集氣法術訣】#王或怪物掉落取得
item = 16028,結界法
item = 16029,展開防禦結界，可降低屬性#斬刺碎射火水仙妖的傷害。#【結界法術訣】#王或怪物掉落取得
item = 16030,兵強化
item = 16031,強化士兵的攻防能力。#【兵強化術訣】#城外書舖購買#新野書舖#汝南書舖#壽春書舖
item = 16032,軍魂
item = 16033,強化複數目標的整體能力。#【軍魂術訣】#王或怪物掉落取得
item = 16034,鐵騎
item = 16035,自身發出衝擊波震退群敵。#【鐵騎術訣】#王或怪物掉落取得
item = 16036,瞬間移動
item = 16037,隨機瞬間轉移到任何地點。#（以游標位置決定轉移方向）#【瞬間移動術訣】#城外書舖購買#成都書舖#洛陽書舖#建業書舖
item = 16038,千里傳送
item = 16039,傳送回註冊地點。#【千里傳送術訣】#城外書舖購買#上庸書舖#盧江書舖#許昌書舖
item = 16040,灼傷咒
item = 16041,火屬性攻擊，附加衰弱。#【灼傷咒術訣】#城外書舖購買#新野書舖#汝南書舖#壽春書舖
item = 16042,冰封咒
item = 16043,水屬性攻擊，附加緩慢。#【冰封咒術訣】#城外書舖購買#成都書舖#洛陽 書舖#建業書舖
item = 16044,幻惑咒
item = 16045,仙屬性攻擊，附加昏眩。#【幻惑咒術訣】#王或怪物掉落取得
item = 16046,毒煙咒
item = 16047,妖屬性攻擊，附加中毒。#【毒煙咒術訣】#城外書舖購買#新野書舖#汝南 書舖#壽春書舖
item = 16048,武技封咒
item = 16049,封住單一對象的武將技。#【武技封咒術訣】#王或怪物掉落取得
item = 16050,必殺封咒
item = 16051,封住單一對象的必殺技。#【必殺封咒術訣】#王或怪物掉落取得
item = 16054,御飛刀
item = 16055,朝敵人射出追蹤光刀。#【御飛刀術訣】#城外書舖購買#成都書舖#洛陽書舖#建業書舖#上庸書舖#盧江書舖#許昌書舖
item = 16056,雷擊閃
item = 16057,落下大範圍的雷擊。#【雷擊閃術訣】#城外書舖購買#新野書舖#汝南書舖#壽春書舖
item = 16058,凍血冰鋒
item = 16059,凝結地底下的水脈，自地底#連續刺出大範圍的冰柱。#【凍血冰鋒術訣】#王或怪物掉落取得
item = 16060,戰鬼之心
item = 16061,激發自身的鬥爭心。#【戰鬼之心術訣】#王或怪物掉落取得
item = 16062,守護之心
item = 16063,激發各項守備能力。#【守護之心術訣】#城外書舖購買#上庸書舖#盧江書舖#許昌書舖
item = 16066,斬妖劍
item = 16067,放出妖屬性的飛劍。#【斬妖劍術訣】#城外書舖購買#新野書舖#汝南書舖#壽春書舖
item = 16068,鬼戟
item = 16069,喚出鬼戟砍殺敵人。#【鬼戟術訣】#城外書舖購買#上庸書舖#盧江書舖#許昌書舖
item = 16070,破城鎚
item = 16071,落下一顆鎖鍊鐵球。#【破城鎚術訣】#王或怪物掉落取得
item = 16072,鐵輪斬
item = 16073,放出一排刀輪。#【鐵輪斬術訣】#王或怪物掉落取得
item = 16074,地矛
item = 16075,在單一目標腳下刺出長矛。#【地矛術訣】#王或怪物掉落取得
item = 16076,地茅刺
item = 16077,一定範圍內啟動地矛機關。#【茅刺術訣】#王或怪物掉落取得
item = 16078,火箭
item = 16079,發射滿天的火箭。#【火箭術訣】#城外書舖購買#上庸書舖#盧江書舖#許昌書舖
item = 16080,炬石
item = 16081,一定範圍內投下大量炬石。#【炬石術訣】#王或怪物掉落取得
item = 16082,赤焰
item = 16083,在單一目標腳下燃起火焰。#【赤焰術訣】#王或怪物掉落取得
item = 16084,火藥桶
