
// 任務文字檔
[name]

item = 40000,1級 新手訓練
item = 40001,
item = 40002,收集@C五張樹皮@A
item = 40003,承接自@B御府令@A的訓練任務。必須收集@B五張樹皮@A。
item = 40004,與稻草人進行練習，取得樹皮。
item = 40005,將收集齊全的@B五張樹皮@A交給御府令。
item = 40006,向御府令取得新手訓練的獎勵
item = 40007,新手訓練已經完成，尚未取得獎勵。
item = 40008,2級 投射武器
item = 40009,
item = 40010,提昇等級至三
item = 40011,當等級提昇至三以上，可以向侍中取得@B十二把匕首@A。
item = 40012,17級 大興山討逆戰
item = 40013,
item = 40014,打倒盜賊收集盜賊銅錢
item = 40015,打倒盤據在大興山的盜賊，並取回50個盜賊銅錢作為證明，交給鄒靖。
item = 40016,奪回幽州軍書
item = 40017,打到黃巾斥候兵取回@B幽州軍書@A。
item = 40018,向鄒靖領賞
item = 40019,向暫居大興山下的鄒靖太守領取獎賞。
item = 40020,功勳交換限時(1)
item = 40021,
item = 40022,功勳交換限制，限時十二小時。
item = 40023,功勳交換限制，等級一，@C限時十二小時@A。時限結束後可以再進行交換。
item = 40024,5級 煉成淨水石
item = 40025,
item = 40026,找尋城外的煉石道人
item = 40027,幫助議郎，收集@B五十個石珠@A，找尋城外的@B煉石道士@A煉成淨水石。
item = 40028,收集50個石珠給練石道人
item = 40029,打倒路邊的刁民、流氓、小混混，有機會得到石珠。將收集到的@B五十個石珠@A，交給城外@B煉石道人@A，可以煉成議郎需要的淨水石
item = 40030,將淨水石交給城裡的議郎
item = 40031,將煉成的@B淨水石@A交給@B議郎@A，完成淨水煉成的事件
item = 40032,功勳交換限時(2)
item = 40033,
item = 40034,功勳交換限制，限時二十四小時。
item = 40035,功勳交換限制，等級二，@C限時二十小時@A。時限結束後可以再進行交換。
item = 40036,3級 方外的秘密口令
item = 40037,
item = 40038,取得校台的第一個秘密口令
item = 40039,向@B《方外之地 - 校台》的校尉@A取得第一個口令。
item = 40040,取得天台的第二個秘密口令
item = 40041,向@B《方外之地 - 天台》的校尉@A取得第二個口令。
item = 40042,取得修所的第三個秘密口令
item = 40043,向@B《方外之地 - 修所》的校尉@A取得第三個口令。
item = 40044,取得練兵場的最後口令
item = 40045,向@B《方外之地 - 練兵場》的校尉@A取得最後的口令。
item = 40046,將秘密口令回報給校台
item = 40047,回報@B校台的校尉@A，組合口令，取得獎勵。
item = 40048,秘密口令的內容！！
item = 40049,〈黃巾結、逆天行、聚同心、救萬民〉
item = 40050,1級 運送藥材
item = 40051,
item = 40052,前往上庸東境向吉邈取藥材
item = 40053,前往@B上庸東境@A向@B吉邈@A索取藥材。
item = 40054,收集藥材原料
item = 40055,幫助@B上庸東境的吉邈@A，收集藥材中欠缺的@B3份鱗片@A。
item = 40056,交付藥材包袱
item = 40057,將收集完成的@B藥材包袱@A，送回@B成都交給吉穆@A。
item = 40058,1級 怕蛇的通緝犯
item = 40059,
item = 40060,在建業城中探聽消息
item = 40061,向@B建業城@A中的@B田尚@A，探聽通緝犯賈蒙的消息。
item = 40062,打聽通緝犯消息
item = 40063,前往@B盧江@A找尋熟悉賈蒙的老人@B許淨@A，詢問通緝犯的線索。
item = 40064,辨認嫌犯
item = 40065,打倒各地的流氓，緝拿@B嫌犯@A。#並收集@B鱗片@A，供@B許淨@A辨識嫌犯。
item = 40066,緝捕歸案
item = 40067,將抓到的@B賈蒙@A帶回@B建業@A，交給衙門的@B高遜@A。
item = 40068,4級 強化軍力
item = 40069,
item = 40070,收集一把兩刃叉，交給周聞。
item = 40071,收集一把@B兩刃叉@A(打倒狂牛可以取得)，交給@B洛陽東陌周聞@A。
item = 40072,收集三把大刀，交給周聞。
item = 40073,收集@B三把大刀@A，交給@B周聞@A。
item = 40074,收集百隻匕首，交給周聞。
item = 40075,收集@B百隻匕首@A，交給@B周聞@A。
item = 40076,10級 虞翻的請託
item = 40077,
item = 40078,收集三種材料
item = 40079,幫@B盧江@A的@B虞翻@A收集@B毒液五份、鹿茸三個、羊角一個@A。
item = 40080,10級 運送安寧丹
item = 40081,
item = 40082,運送丹藥前往長沙
item = 40083,將安寧丹送交給@B長沙的李異@A。
item = 40084,回報運送完成
item = 40085,回到盧江告知虞翻安寧丹已經送達。
item = 40086,1級 掃蕩賭匪
item = 40087,
item = 40088,打倒匪盜小輩收集骰子
item = 40089,打倒匪盜小輩收集@B三十個骰子@A。
item = 40090,打倒匪盜小輩收集粗麻
item = 40091,打倒匪盜小輩收集@B三個粗麻@A。
item = 40092,1級 新兵引導
item = 40093,
item = 40094,議郎的操作說明 (1)
item = 40095,議郎的操作說明 (1)
item = 40096,議郎的操作說明 (2)
item = 40097,議郎的操作說明 (2)
item = 40098,議郎的操作說明 (3)
item = 40099,議郎的操作說明 (3)
item = 40100,議郎的操作說明 (4)
item = 40101,議郎的操作說明 (4)
item = 40102,議郎的操作說明 (5)
item = 40103,議郎的操作說明 (5)
item = 40104,議郎的操作說明 (6)
item = 40105,議郎的操作說明 (6)
item = 40106,議郎的操作說明 (7)
item = 40107,議郎的操作說明 (7)
item = 40108,議郎的操作說明 (8)
item = 40109,議郎的操作說明 (8)
item = 40110,議郎的操作說明 (9)
item = 40111,議郎的操作說明 (9)
item = 40112,議郎的操作說明 (10)
item = 40113,議郎的操作說明 (10)
item = 40114,1級 新兵測試
item = 40115,
item = 40116,查看地圖介面
item = 40117,查看地圖介面@B〈Alt + B〉@A。並回答中護軍的問題。
item = 40118,完成卸下武器的要求
item = 40119,卸下武器，完成中護軍的要求。
item = 40120,查看技能選單中的變化
item = 40121,查看技能選單〈Alt + S〉。回答中護軍的問題。
item = 40122,取得新兵測試的獎勵
item = 40123,向中護軍取得測試的獎勵。
item = 40124,30級 落魄俠客
item = 40125,
item = 40126,為祝公道取來武器一把
item = 40127,幫壽春俠客祝公道取來#寬刃劍#長頂槍#鳳嘴刀#鋼弓#等四種武器的其中一種。
item = 40128,30級 代取飛刀鐵匣
item = 40129,
item = 40130,前往烏林索取鐵匣
item = 40131,幫壽春俠客祝公道至烏林向鐵匠老白索取飛刀鐵匣。
item = 40132,歸還飛刀鐵匣
item = 40133,將飛刀鐵匣交給壽春俠客祝公道。
item = 40134,義祝盤纏
item = 40135,考慮贊助祝公道盤纏二萬兩。
item = 40136,覓得寶物
item = 40137,至九里山五棵樹木環繞的大石下搜尋ㄧ件寶甲。
item = 40138,1級 平定亂民
item = 40139,
item = 40140,以@B藤條10、雜布15、木盾@A證明平亂
item = 40141,取回@B藤條 10 個、雜布 15 個、木盾1 個@A，向：洛陽的楊修、成都的糜竺或建業的張紘證明自己平亂有功。
item = 40142,5級 驅逐惡獸
item = 40143,
item = 40144,收集@B短獸牙@A交給城中的待中
item = 40145,幫助城裡的侍中獵殺城郊野獸，並取回十枚短獸牙作為憑證。
item = 40146,14級 騎術學習
item = 40147,
item = 40148,向@B什貨郎取@A得〈馬鞍〉
item = 40149,完成騎術教官的指示，回到首都取得馬鞍，並帶來一仟五百兩的學費。
item = 40150,向騎術教官學習《馬術》
item = 40151,並向什貨郎換得馬鞍，準備好@B學費一仟五百兩@A，找騎術教官學習騎術。城中的市集可以買到馬匹。
item = 40152,35級 合成熟練
item = 40153,
item = 40154,將飛來石交葛玄
item = 40155,將煉丹道人葛洪的@B飛來石@A交給江夏的@B煉丹道人葛玄@A。
item = 40156,煉成斬合金
item = 40157,幫助江夏城中的煉丹道人葛玄，煉成一個@B斬合金@A。#(配方可在煉造房中購得)
item = 40158,將朱砂交給葛洪
item = 40159,將煉丹道人葛玄的@B朱砂@A，交給碧水地穴的煉丹道人葛洪。
item = 40160,收集水珠及火珠
item = 40161,準備@B水珠及火珠各五十個@A，準備煉成朱紅石及青玉石。收集完成再回報煉丹道人葛洪。
item = 40162,煉成朱紅石及青玉石各一個
